gender,ssc_p,ssc_b,hsc_p,hsc_b,degree_p,workex,etest_p,specialisation,mba_p,hsc_s_Commerce,hsc_s_Science,degree_t_Others,degree_t_Sci&Tech
1,0.5382395382395382,0,0.8896210873146622,0,0.19512195121951237,0,0.10416666666666674,0,0.2844827586206895,1,0,0,1
1,0.792413935271078,1,0.6808896210873145,0,0.6702439024390245,1,0.7604166666666667,1,0.5648425787106448,0,1,0,1
1,0.49701092558235405,1,0.5107084019769357,1,0.3414634146341464,0,0.5208333333333335,1,0.24700149925037485,0,0,0,0
1,0.31148216862502576,1,0.2471169686985173,1,0.04878048780487809,0,0.3333333333333335,0,0.3080959520239879,0,1,0,1
1,0.9257884972170685,1,0.6029654036243821,1,0.5682926829268293,0,0.9750000000000001,1,0.16079460269865065,1,0,0,0
1,0.2908678622964338,0,0.2108731466227347,0,0.4207317073170733,1,0.10416666666666674,1,0.013868065967016285,0,1,0,1
0,0.10533910533910529,0,0.20098846787479407,0,0.7073170731707319,0,0.5058333333333334,1,0.07796101949025469,1,0,0,0
1,0.8474541331684189,1,0.4448105436573311,1,0.3902439024390245,1,0.35416666666666674,1,0.40967016491754116,0,1,0,1
1,0.6619253762110904,1,0.6919275123558484,1,0.5365853658536586,0,0.8612500000000001,1,0.3778110944527735,1,0,0,0
1,0.3527107812822099,1,0.5436573311367381,1,0.2682926829268293,0,0.08333333333333348,1,0.03748125937031488,1,0,0,0
1,0.3527107812822099,1,0.3953871499176276,1,0.24390243902439024,1,0.25,0,0.3613193403298349,1,0,0,0
1,0.5918367346938773,1,0.5172981878088962,1,0.6902439024390243,1,0.20833333333333348,1,0.46814092953523234,1,0,0,0
0,0.12595341166769736,1,0.2965403624382207,0,0.36585365853658547,0,0.25,0,0.5183658170914542,0,1,0,0
0,0.7443826015254587,1,0.8237232289950576,1,0.2195121951219512,0,0.375,1,0.6529235382308842,1,0,0,0
1,0.43516800659657795,1,0.1647446457990115,1,0.0,0,0.5416666666666667,0,0.14055472263868074,1,0,0,0
0,0.49701092558235405,1,0.6260296540362438,1,0.46341463414634165,1,0.4583333333333335,1,0.5041229385307346,1,0,0,0
1,0.45578231292517013,1,0.48105436573311366,1,0.3804878048780487,1,0.20833333333333348,1,0.42466266866566693,1,0,0,0
0,0.2908678622964338,1,0.4942339373970346,1,0.3414634146341464,0,0.20833333333333348,1,0.6023238380809595,1,0,0,0
0,0.45578231292517013,1,0.4777594728171335,1,0.3414634146341464,0,0.375,0,0.48238380809595194,1,0,0,0
1,0.3939393939393938,0,0.4942339373970346,0,0.4878048780487805,1,0.010000000000000009,1,1.0,0,0,0,0
1,0.43516800659657795,0,0.4612850082372322,0,0.3902439024390245,0,0.0,0,0.2057721139430284,1,0,0,0
0,0.7856112141826428,0,0.6425041186161449,0,0.853658536585366,0,0.9375,1,0.6690404797601199,1,0,0,0
0,0.5959595959595958,0,0.3920922570016474,0,0.5421951219512198,0,0.11520833333333336,0,0.6596701649175412,0,1,0,1
0,0.7526283240568956,0,0.3789126853377265,0,0.3595121951219511,1,0.875,1,0.4651424287856072,0,1,0,1
1,0.7340754483611627,0,1.0,0,0.7039024390243904,0,0.9875000000000003,1,0.8545727136431784,0,1,0,1
0,0.24098124098124085,0,0.2899505766062602,1,0.004878048780488031,1,0.5416666666666667,1,0.5292353823088454,1,0,0,0
1,0.6206967635539065,0,0.6919275123558484,0,0.3902439024390245,1,0.9166666666666667,1,0.23763118440779607,1,0,0,0
1,0.45578231292517013,0,0.4942339373970346,0,0.3902439024390245,0,0.375,0,0.2428785607196402,1,0,0,0
1,0.7394351680065967,0,0.6507413509060955,0,0.4268292682926831,1,0.4864583333333332,1,0.4850074962518742,1,0,0,0
1,0.43516800659657795,1,0.4942339373970346,1,0.19512195121951237,0,0.5625,1,0.0029985007496251548,1,0,0,0
0,0.4763966192537621,1,0.601317957166392,1,0.5609756097560976,0,0.04166666666666674,0,0.2057721139430284,1,0,0,0
0,0.5382395382395382,1,0.2635914332784184,1,0.36585365853658547,0,0.29166666666666674,0,0.2664917541229386,0,1,0,1
0,0.414553700267986,1,0.7248764415156508,1,0.40000000000000013,0,0.01854166666666668,0,0.41229385307346345,1,0,0,0
0,0.9505256648113791,0,0.4612850082372322,0,0.7560975609756098,1,0.7916666666666667,1,0.8084707646176912,0,1,0,0
